date,episode_id,item_type,item_id,source_path,provenance_status,notes
2026-06-09,s01e05-apartment-window-longplay,planning_hook,season_week,channel/roadmap.md,source_internal,Seeded from roadmap concept: Apartment Window Longplay
2026-06-09,s01e05-apartment-window-longplay,operating_boundary,local_source_first,docs/operating-boundary.md,source_internal,Only source packet work is allowed by this scaffold
2026-06-09,s01e05-apartment-window-longplay,media_audio,audio_raw_variants,/Users/xiivth/workspaces/zodiac/leo/candidates/s01e05-apartment-window-longplay/audio,unknown_user_supplied,13 raw track titles with base and (1) variant files supplied by user
2026-06-09,s01e05-apartment-window-longplay,media_audio,audio_c01_selected,/Users/xiivth/workspaces/zodiac/leo/candidates/s01e05-apartment-window-longplay/audio/selected,active,Deterministic Gate-2 selected c01 pack copied for local assembly
2026-06-09,s01e05-apartment-window-longplay,media_audio,audio_c02_pool,/Users/xiivth/workspaces/zodiac/leo/candidates/s01e05-apartment-window-longplay/audio/pool,active,Deterministic Gate-2 c02 pool retained
2026-06-09,s01e05-apartment-window-longplay,media_visual,visual_raw_image,"/Users/xiivth/workspaces/zodiac/leo/candidates/s01e05-apartment-window-longplay/visual/ChatGPT Image Jun 9, 2026, 02_33_09 PM.png",unknown_user_supplied,User-supplied visual still candidate with apartment window direction
2026-06-09,s01e05-apartment-window-longplay,media_visual,visual_vis_c01_selected,/Users/xiivth/workspaces/zodiac/leo/candidates/s01e05-apartment-window-longplay/visual/selected/vis-c01--apartment-window-playlist-cover.png,active,vis-c01 selected candidate copied into visual/selected
2026-06-11,s01e05-apartment-window-longplay,youtube_api,video_private_upload,channel/episodes/s01e05-apartment-window-longplay/reviews/release-decision-plan.md,active,youtube.videos.insert completed with video ID ShWN-wK-ZNY
2026-06-11,s01e05-apartment-window-longplay,youtube_api,thumbnail_set_upload,channel/episodes/s01e05-apartment-window-longplay/reviews/release-decision-plan.md,active,youtube.thumbnails.set completed for video ID ShWN-wK-ZNY
2026-06-11,s01e05-apartment-window-longplay,youtube_api,video_public_publish,channel/episodes/s01e05-apartment-window-longplay/reviews/release-decision-plan.md,active,youtube.videos.update completed to set visibility to public for ShWN-wK-ZNY
2026-06-11,s01e05-apartment-window-longplay,youtube_api,comment_thread_insert,channel/episodes/s01e05-apartment-window-longplay/reviews/release-decision-plan.md,active,youtube.commentThreads.insert completed with comment ID UgyS7hWhDBqla58T9214AaABAg for ShWN-wK-ZNY
