date,episode_id,gate,area,status,source_path,notes
2026-06-09,s01e05-apartment-window-longplay,gate_0_bootstrap,episode_packet,scaffolded_source_only,channel/episodes/s01e05-apartment-window-longplay/manifest.json,Fresh episode packet scaffold created with no media candidates or release facts
2026-06-09,s01e05-apartment-window-longplay,gate_0_bootstrap,source_packet,pending,channel/episodes/s01e05-apartment-window-longplay/source/songs.md,Gate 1 source packet still needs shape review song source Suno fields visual source metadata and reviews
2026-06-09,s01e05-apartment-window-longplay,gate_0_bootstrap,release_gate,blocked,channel/episodes/s01e05-apartment-window-longplay/reviews/release-decision-plan.md,Upload publish API browser schedule analytics Content ID and account actions remain blocked
2026-06-09,s01e05-apartment-window-longplay,gate_1_source_packet,source_packet,locked,channel/episodes/s01e05-apartment-window-longplay/manifest.json,Gate 1 source prompts lyrics visual metadata and comment are locked
2026-06-09,s01e05-apartment-window-longplay,gate_2_intake,audio_candidates,pass,channel/episodes/s01e05-apartment-window-longplay/reviews/audio-candidate-intake.md,26 raw WAV organized into 13 c01 selected and 13 c02 pooled files under candidates/audio/
2026-06-09,s01e05-apartment-window-longplay,gate_2_intake,visual_candidates,pass,channel/episodes/s01e05-apartment-window-longplay/reviews/visual-candidate-intake.md,1 still-image candidate observed and vis-c01 copied to candidates/visual/selected/
2026-06-11,s01e05-apartment-window-longplay,gate_3_render_prep,subtitles,pass,channel/episodes/s01e05-apartment-window-longplay/subtitles/s01e05-apartment-window-longplay.en.srt,Subtitle alignment promoted and cozy Gen Z Thai translation completed
2026-06-11,s01e05-apartment-window-longplay,gate_4_release_prep,youtube_private_upload,pass,channel/episodes/s01e05-apartment-window-longplay/manifest.json,Video ShWN-wK-ZNY uploaded as private. Thumbnail set completed.
2026-06-11,s01e05-apartment-window-longplay,release_gate_public_release_completed,youtube_public_release,manual_public_release_completed_with_comment_thread,channel/episodes/s01e05-apartment-window-longplay/manifest.json,"Video ShWN-wK-ZNY public. Top-level comment posted via API, thread ID UgyS7hWhDBqla58T9214AaABAg."
2026-06-12,s01e05-apartment-window-longplay,post_release_subtitle_fix,subtitles,applied,channel/episodes/s01e05-apartment-window-longplay/subtitles/s01e05-apartment-window-longplay.en.srt,"Removed (Humming low)/(ฮัมเพลงเสียงต่ำ) stage-direction cue from all 4 subtitle files (en/th SRT/VTT). Patched track-01 Outro timing for 3 cues: While the city voices slip away 01:58->03:03, Steady shade of orange-gold 02:19->03:09, Resting on the wooden tray 02:33->03:16. Re-aligned from stable-ts track-01 re-run with Intro section excluded. 447 cues total."
2026-06-12,s01e05-apartment-window-longplay,post_release_caption_upload,captions_en,api_upload_completed,channel/episodes/s01e05-apartment-window-longplay/subtitles/s01e05-apartment-window-longplay.en.srt,"EN caption track uploaded via captions.insert on channel UC4qQwe3oiykEGhL_WyVFtMg video ShWN-wK-ZNY. Caption ID AUieDabzo5-AyQCGmnxi2Xj6ON9xnZ3FVfZ9NAcn2fKzjmXwWfvlrTKC. status=serving name=English language=en."
2026-06-12,s01e05-apartment-window-longplay,post_release_caption_upload,captions_th,api_upload_completed,channel/episodes/s01e05-apartment-window-longplay/subtitles/s01e05-apartment-window-longplay.th.srt,"TH caption track uploaded via captions.insert on channel UC4qQwe3oiykEGhL_WyVFtMg video ShWN-wK-ZNY. Caption ID AUieDaaISHnF639ePN2Y6s_FvIY1PWihYDNCVjbBM7CkrFFVUqCB9UjfJLqB8UTThfw8BDvNwv8Tkw. status=serving name=Thai (Cozy Translation) language=th."
2026-06-12,s01e05-apartment-window-longplay,post_release_subtitle_fix,subtitles,applied,channel/episodes/s01e05-apartment-window-longplay/subtitles/s01e05-apartment-window-longplay.th.srt,"Fixed singular first-person pronouns: replaced 'เรา'/'ของเรา' with 'ฉัน'/'ของฉัน' when referring to the female singer individually in 9 distinct cues. Re-uploaded corrected Thai caption track to YouTube video ShWN-wK-ZNY."
2026-06-12,s01e05-apartment-window-longplay,post_release_subtitle_spoken_style,subtitles,applied,channel/episodes/s01e05-apartment-window-longplay/subtitles/s01e05-apartment-window-longplay.th.srt,"Rewrote Thai subtitles/lyrics to use natural, casual spoken style instead of formal/poetic bookish language. Re-uploaded updated Thai caption track to YouTube video ShWN-wK-ZNY."
2026-06-12,s01e05-apartment-window-longplay,post_release_visibility_update,youtube_public_release,applied,channel/episodes/s01e05-apartment-window-longplay/manifest.json,"Video ShWN-wK-ZNY privacy status updated to public via YouTube Data API after user request."
2026-06-12,s01e05-apartment-window-longplay,re_render_burnin_subtitles,render,applied,candidates/s01e05-apartment-window-longplay/render/local-render-01/video/s01e05-apartment-window-longplay.local-render-01-draft-subtitled-f15526d2736616-1080p24-qa.mp4,"Re-rendered full video to burn in the corrected subtitles (pronoun and spoken style fixes) under signature f15526d2736616."
2026-06-12,s01e05-apartment-window-longplay,youtube_private_reupload,youtube_private_upload,applied,channel/episodes/s01e05-apartment-window-longplay/manifest.json,"Uploaded the newly rendered video to YouTube as private (video ID: QR9h3p4C3Vg)."
2026-06-12,s01e05-apartment-window-longplay,youtube_thumbnail_reupload,youtube_thumbnail,applied,channel/episodes/s01e05-apartment-window-longplay/manifest.json,"Uploaded and set the custom layered thumbnail for the new video QR9h3p4C3Vg."
2026-06-12,s01e05-apartment-window-longplay,youtube_captions_reupload,captions_en,api_upload_completed,channel/episodes/s01e05-apartment-window-longplay/subtitles/s01e05-apartment-window-longplay.en.srt,"Uploaded soft English captions for the new video QR9h3p4C3Vg (caption ID AUieDabUb4amdJmlvcoQ17O0tVr85QdmMRIY9WNTHr4oZrUr9Q7mZvZB)."
2026-06-12,s01e05-apartment-window-longplay,youtube_captions_quota_exceeded,captions_th,failed,channel/episodes/s01e05-apartment-window-longplay/subtitles/s01e05-apartment-window-longplay.th.srt,"Thai caption track upload failed with HttpError 403 (quotaExceeded) due to daily limits."
